,avg_star
2116,4.4
2117,4.4
2118,4.2
2119,4.4
2120,4.4
2121,4.1
2122,4.2
2123,4.3
2124,4.3
2125,3
2126,4.1
2127,4.8
2128,4.4
2129,3.3
2130,4.3
2131,4.3
2132,3.6
2133,4.4
2134,4.4
2135,4.4
2136,4.6
2137,4.4
2138,4.7
2139,4.2
2140,4.2
2141,4.3
2142,4.3
2143,4.4
2144,4.5
2145,4.2
2146,4.2
2147,4.4
2148,4.4
2149,4.3
2150,4.3
2151,4.7
2152,4.4
2153,4.4
2154,4.1
2155,4.4
2156,4.1
2157,4.4
2158,4.4
2159,4.4
2160,4.3
2161,4.2
2162,4.2
2163,3.6
2164,4.4
2165,4.2
2166,4.3
2167,4.2
2168,4.4
2169,4.4
2170,3.3
